brand,model,model_year,milage,fuel_type,transmission,accident,price,engine_hp,brand_id,model_id,fuel_type_id,transmission_norm,age
Ford,Utility Police Interceptor Base,2013,51,E85 Flex Fuel,6-Speed A/T,1,10300,300.0,14,1743,1,0,12
Hyundai,Palisade SEL,2021,35,Gasoline,8-Speed A/T,1,38005,352.0,19,1182,3,0,4
Lexus,RX 350 RX 350,2022,22,Gasoline,A/T,0,54598,309.0,27,1325,3,0,3
INFINITI,Q50 Hybrid Sport,2015,89,Hybrid,7-Speed A/T,0,15500,354.0,20,1242,4,0,10
Audi,Q3 45 S line Premium Plus,2021,10,Gasoline,8-Speed A/T,0,34999,232.0,3,1225,3,0,4
Acura,ILX 2.4L,2016,136,Gasoline,F,0,14798,190.0,0,877,3,2,9
Audi,S3 2.0T Premium Plus,2017,84,Gasoline,6-Speed A/T,0,31000,292.0,3,1460,3,0,8
BMW,740 iL,2001,242,Gasoline,A/T,0,7300,282.0,4,127,3,0,24
Lexus,RC 350 F Sport,2021,23,Gasoline,6-Speed A/T,0,41927,311.0,27,1293,3,0,4
Tesla,Model X Long Range Plus,2020,34,Electric,A/T,0,69950,534.0,52,1103,2,0,5
Aston,Martin DBS Superleggera,2019,23,Gasoline,8-Speed A/T,0,184606,715.0,2,1042,3,0,6
Toyota,Supra 3.0 Premium,2021,12,Gasoline,A/T,0,53500,382.0,53,1632,3,0,4
Lincoln,Aviator Reserve AWD,2022,18,Gasoline,Transmission w/Dual Shift Mode,0,62000,400.0,28,293,3,2,3
Jaguar,F-TYPE,2020,16,Gasoline,A/T,0,47998,232.0,21,697,3,0,5
Land,Rover LR4 HSE,2013,80,Gasoline,A/T,0,29990,375.0,26,1393,3,0,12
Dodge,Challenger SXT,2013,61,Gasoline,A/T,0,16800,305.0,11,449,3,0,12
Nissan,350Z Enthusiast,2003,74,Gasoline,6-Speed Manual,0,11000,287.0,39,57,3,1,22
Jaguar,F-TYPE R,2018,35,Gasoline,8-Speed A/T,0,68750,550.0,21,698,3,0,7
Genesis,GV70 3.5T Sport,2023,5,Gasoline,8-Speed A/T,0,60000,375.0,16,790,3,0,2
Chevrolet,S-10 LS,2000,134,E85 Flex Fuel,A/T,0,4500,120.0,9,1446,1,0,25
BMW,440 Gran Coupe 440i xDrive,2020,26,Gasoline,A/T,0,38598,341.0,4,75,3,0,5
Ford,F-150 XLT,2023,3,Gasoline,A/T,0,58504,309.0,14,670,3,0,2
Chevrolet,Suburban RST,2021,52,Gasoline,10-Speed A/T,0,61000,355.0,9,1630,3,0,4
Hyundai,Elantra N Base,2022,12,Gasoline,Transmission w/Dual Shift Mode,0,32300,276.0,19,583,3,2,3
Nissan,Sentra SR,2016,97,Gasoline,A/T,0,13998,150.0,39,1526,3,0,9
Mercedes-Benz,AMG CLA 45 Base 4MATIC,2021,18,Gasoline,A/T,0,59995,382.0,36,213,3,0,4
BMW,650 Gran Coupe i xDrive,2015,69,Gasoline,8-Speed A/T,0,25700,445.0,4,114,3,0,10
Audi,Q5 2.0T Premium Plus,2017,82,E85 Flex Fuel,8-Speed A/T,0,21375,232.0,3,1231,1,0,8
Mercedes-Benz,AMG C 43 Base 4MATIC,2018,29,Gasoline,9-Speed A/T,0,48000,362.0,36,208,3,0,7
Dodge,Ram 1500 Laramie Mega Cab,2006,300,Gasoline,A/T,1,10900,345.0,11,1336,3,0,19
Kia,Sorento SX,2011,171,Gasoline,A/T,0,5999,276.0,24,1601,3,0,14
Lexus,LX 570 Base,2016,119,Gasoline,8-Speed A/T,0,46900,383.0,27,932,3,0,9
Jeep,New Compass Trailhawk,2017,119,Gasoline,A/T,0,15900,180.0,22,1151,3,0,8
BMW,340 i,2018,44,Gasoline,A/T,0,33598,341.0,4,53,3,0,7
Audi,A4 2.0T Premium Plus quattro,2012,126,Gasoline,8-Speed A/T,0,8999,211.0,3,171,3,0,13
Hyundai,Tucson SE,2007,16,Gasoline,A/T,0,8200,173.0,19,1726,3,0,18
BMW,Z4 sDrive28i,2014,70,Gasoline,A/T,1,20000,240.0,4,1880,3,0,11
Bentley,Continental GTC Base,2011,20,E85 Flex Fuel,6-Speed A/T,0,79950,552.0,5,489,1,0,14
Honda,Passport Elite,2023,3,Gasoline,A/T,0,45498,309.0,17,1197,3,0,2
Dodge,Sprinter 2500,2007,190,Diesel,5-Speed A/T,1,14000,341.0,11,1610,0,0,18
BMW,M850 i xDrive,2019,10,Gasoline,A/T,0,75798,502.0,4,993,3,0,6
Lucid,Air Grand Touring,2022,4,Electric,1-Speed A/T,0,119999,536.0,30,258,2,0,3
Audi,A7 Premium,2012,54,Gasoline,8-Speed A/T,1,36880,310.0,3,196,3,0,13
Chevrolet,Silverado 1500 Custom Trail Boss,2021,51,Gasoline,A/T,0,43147,339.0,9,1557,3,0,4
MINI,Convertible John Cooper Works,2017,24,Gasoline,6-Speed A/T,1,29000,228.0,31,493,3,0,8
Toyota,Avalon Touring,2016,89,Gasoline,A/T,0,17500,268.0,53,284,3,0,9
Porsche,Cayenne Platinum Edition,2017,73,Gasoline,8-Speed A/T,0,30990,300.0,43,429,3,0,8
Mercedes-Benz,AMG C 63 S,2017,60,Gasoline,Transmission w/Dual Shift Mode,1,52500,503.0,36,210,3,2,8
Honda,CR-V EX-L,2016,74,Gasoline,A/T CVT,1,20848,190.0,17,360,3,0,9
Hummer,H2 Base,2005,111,Gasoline,A/T,0,19500,325.0,18,852,3,0,20
Porsche,911 Carrera S,2013,39,Gasoline,7-Speed A/T,0,73000,400.0,43,153,3,0,12
Mercedes-Benz,CLA-Class CLA 250,2016,120,Gasoline,Transmission w/Dual Shift Mode,0,19800,208.0,36,350,3,2,9
Chrysler,300 Touring,2009,135,Gasoline,Transmission w/Dual Shift Mode,0,7500,250.0,10,33,3,2,16
Nissan,Rogue SV,2023,1,Gasoline,A/T CVT,0,30999,201.0,39,1363,3,0,2
Audi,A3 2.0T,2010,84,Gasoline,Transmission w/Dual Shift Mode,0,6500,200.0,3,166,3,2,15
Ford,Mustang GT Premium,2014,37,Gasoline,6-Speed Manual,0,28500,420.0,14,1122,3,1,11
Acura,RL Technology,2010,98,Gasoline,Transmission w/Dual Shift Mode,0,10995,300.0,0,1302,3,2,15
Volvo,XC90 Hybrid T8 R-Design,2018,40,Plug-In Hybrid,Transmission w/Dual Shift Mode,0,42000,400.0,55,1827,5,2,7
Audi,R8 5.2 V10,2018,9,Gasoline,7-Speed A/T with Auto-Shift,0,144900,577.0,3,1282,3,0,7
Mercedes-Benz,GLK-Class GLK 350,2014,186,Gasoline,A/T,1,10000,302.0,36,774,3,0,11
Toyota,C-HR LE,2021,13,Gasoline,CVT-F,0,23998,232.0,53,343,3,0,4
Lexus,IS 350 Base,2014,104,Gasoline,8-Speed A/T,0,21000,306.0,27,886,3,0,11
BMW,X4 M40i,2023,8,Hybrid,Transmission w/Dual Shift Mode,0,67900,382.0,4,1793,4,2,2
BMW,M4 CS,2019,19,Gasoline,A/T,0,69998,341.0,4,977,3,0,6
Cadillac,CT5 Premium Luxury,2023,6,Gasoline,A/T,0,46900,237.0,8,366,3,0,2
Lucid,Air Grand Touring,2022,5,Electric,1-Speed A/T,0,99000,536.0,30,258,2,0,3
Audi,A5 2.0T Premium Plus,2019,48,Gasoline,Transmission w/Dual Shift Mode,0,31000,248.0,3,177,3,2,6
Chrysler,300C SRT8,2006,43,Gasoline,5-Speed A/T,1,19995,425.0,10,35,3,0,19
Bentley,Continental GT W12,2017,15,Gasoline,8-Speed A/T,0,130000,582.0,5,488,3,0,8
BMW,M4 Base,2019,58,Gasoline,Transmission w/Dual Shift Mode,0,55999,425.0,4,976,3,2,6
Toyota,GR Corolla Circuit Edition,2023,952,Gasoline,6-Speed Manual,0,49950,300.0,53,778,3,1,2
Audi,RS 5 2.9T,2019,21,Gasoline,8-Speed A/T,1,59950,444.0,3,1307,3,0,6
Porsche,Cayenne Base,2019,59,Gasoline,Transmission w/Dual Shift Mode,0,42499,335.0,43,423,3,2,6
Maserati,Quattroporte S,2019,23,Gasoline,8-Speed A/T,0,44999,424.0,32,1271,3,0,6
