milage,accident,price,engine_hp,brand_id,model_id,fuel_type_id,transmission_norm,age
51,1,10300,300.0,14,1743,1,0,12
35,1,38005,352.0,19,1182,3,0,4
22,0,54598,309.0,27,1325,3,0,3
89,0,15500,354.0,20,1242,4,0,10
10,0,34999,232.0,3,1225,3,0,4
136,0,14798,190.0,0,877,3,2,9
84,0,31000,292.0,3,1460,3,0,8
242,0,7300,282.0,4,127,3,0,24
23,0,41927,311.0,27,1293,3,0,4
34,0,69950,534.0,52,1103,2,0,5
23,0,184606,715.0,2,1042,3,0,6
12,0,53500,382.0,53,1632,3,0,4
18,0,62000,400.0,28,293,3,2,3
16,0,47998,232.0,21,697,3,0,5
80,0,29990,375.0,26,1393,3,0,12
2,0,250000,232.0,36,1077,3,0,4
61,0,16800,305.0,11,449,3,0,12
74,0,11000,287.0,39,57,3,1,22
35,0,68750,550.0,21,698,3,0,7
5,0,60000,375.0,16,790,3,0,2
134,0,4500,120.0,9,1446,1,0,25
26,0,38598,341.0,4,75,3,0,5
3,0,58504,309.0,14,670,3,0,2
52,0,61000,355.0,9,1630,3,0,4
12,0,32300,276.0,19,583,3,2,3
97,0,13998,150.0,39,1526,3,0,9
18,0,59995,382.0,36,213,3,0,4
69,0,25700,445.0,4,114,3,0,10
82,0,21375,232.0,3,1231,1,0,8
29,0,48000,362.0,36,208,3,0,7
300,1,10900,345.0,11,1336,3,0,19
171,0,5999,276.0,24,1601,3,0,14
119,0,46900,383.0,27,932,3,0,9
119,0,15900,180.0,22,1151,3,0,8
44,0,33598,341.0,4,53,3,0,7
126,0,8999,211.0,3,171,3,0,13
16,0,8200,173.0,19,1726,3,0,18
70,1,20000,240.0,4,1880,3,0,11
20,0,79950,552.0,5,489,1,0,14
3,0,45498,309.0,17,1197,3,0,2
190,1,14000,341.0,11,1610,0,0,18
10,0,75798,502.0,4,993,3,0,6
4,0,119999,536.0,30,258,2,0,3
54,1,36880,310.0,3,196,3,0,13
51,0,43147,339.0,9,1557,3,0,4
24,1,29000,228.0,31,493,3,0,8
89,0,17500,268.0,53,284,3,0,9
73,0,30990,300.0,43,429,3,0,8
60,1,52500,503.0,36,210,3,2,8
74,1,20848,190.0,17,360,3,0,9
111,0,19500,325.0,18,852,3,0,20
39,0,73000,400.0,43,153,3,0,12
120,0,19800,208.0,36,350,3,2,9
135,0,7500,250.0,10,33,3,2,16
1,0,30999,201.0,39,1363,3,0,2
84,0,6500,200.0,3,166,3,2,15
37,0,28500,420.0,14,1122,3,1,11
98,0,10995,300.0,0,1302,3,2,15
40,0,42000,400.0,55,1827,5,2,7
9,0,144900,577.0,3,1282,3,0,7
186,1,10000,302.0,36,774,3,0,11
13,0,23998,232.0,53,343,3,0,4
104,0,21000,306.0,27,886,3,0,11
8,0,67900,382.0,4,1793,4,2,2
19,0,69998,341.0,4,977,3,0,6
6,0,46900,237.0,8,366,3,0,2
5,0,99000,536.0,30,258,2,0,3
48,0,31000,248.0,3,177,3,2,6
43,1,19995,425.0,10,35,3,0,19
15,0,130000,582.0,5,488,3,0,8
58,0,55999,425.0,4,976,3,2,6
952,0,49950,300.0,53,778,3,1,2
21,1,59950,444.0,3,1307,3,0,6
59,0,42499,335.0,43,423,3,2,6
255,0,359991,577.0,25,874,3,0,2
23,0,44999,424.0,32,1271,3,0,6
48,1,30000,340.0,21,1838,3,0,8
41,0,11100,225.0,27,568,3,0,20
21,0,37998,232.0,26,1389,3,0,5
12,0,72000,340.0,43,436,3,0,10
10,0,53950,365.0,16,757,3,0,4
633,0,47999,315.0,54,829,3,1,2
66,1,15900,199.0,19,1588,4,0,10
60,1,45000,560.0,3,1311,3,0,11
85,0,18500,326.0,4,125,3,0,13
18,1,80000,362.0,36,776,4,0,5
26,0,55000,560.0,4,986,3,0,9
211,0,2300,165.0,50,721,3,1,21
4,0,34000,276.0,19,583,3,1,2
37,0,31995,170.0,24,1155,4,0,3
3,0,92000,835.0,45,1277,2,0,2
2,0,279950,577.0,2,1042,3,0,4
33,1,29900,241.0,36,1498,3,0,7
76,0,24950,300.0,4,72,3,0,9
31,0,39366,369.0,22,847,3,0,5
48,0,32900,306.0,27,1292,3,2,10
91,0,8900,215.0,4,96,3,0,20
125,1,4995,130.0,53,499,3,1,22
2,0,104900,464.0,8,367,3,0,2
116,0,7900,288.0,15,247,3,0,13
38,0,75950,447.0,27,923,3,0,5
42,0,86000,369.0,4,1893,5,2,6
87,0,17995,200.0,27,567,4,0,12
4,1,55655,341.0,8,368,3,0,3
27,0,39998,232.0,4,105,3,0,5
140,1,14500,195.0,9,654,3,0,11
27,0,47500,285.0,22,818,3,0,3
37,0,27000,240.0,4,1880,3,2,11
144,1,18000,340.0,26,1394,3,0,9
44,0,28900,237.0,8,1854,3,0,6
11,0,73998,502.0,4,129,3,0,4
8,0,47350,400.0,5,267,3,0,20
51,0,47698,341.0,28,293,3,0,5
69,0,36500,550.0,36,220,3,2,9
148,0,32662,304.0,44,1219,3,0,4
105,1,6600,300.0,14,1743,1,0,12
92,0,9995,211.0,3,176,3,2,14
16,0,69500,485.0,39,785,3,2,15
72,1,9995,132.0,53,499,3,0,15
2,0,94000,835.0,45,1277,2,0,2
13,0,44798,232.0,36,341,3,0,3
96,1,23000,416.0,43,425,5,2,9
93,0,22495,339.0,9,654,1,0,14
53,1,28998,360.0,20,1254,4,0,9
25,0,49998,341.0,3,197,4,0,5
99,0,9995,280.0,3,1247,3,0,10
1,0,86900,620.0,30,259,2,0,2
73,0,25999,265.0,3,1660,3,0,13
41,0,30000,445.0,4,114,3,0,10
42,0,27899,213.0,50,725,3,0,4
62,0,40000,469.0,36,211,3,2,9
154,1,9950,300.0,26,1392,3,0,19
35,0,53998,341.0,4,1815,3,0,6
194,0,9888,169.0,14,1714,3,0,10
21,0,89999,383.0,27,933,3,2,4
18,0,86900,400.0,43,153,3,1,12
218,0,12990,330.0,11,1342,3,0,19
68,1,36500,400.0,39,265,3,0,4
79,1,42999,275.0,43,434,3,2,11
25,0,63998,341.0,36,773,4,0,3
67,1,12000,303.0,9,1110,3,0,19
86,0,32000,560.0,4,982,3,2,12
654,0,34599,232.0,19,922,3,0,2
75,0,12500,240.0,9,1110,3,0,20
84,1,22800,240.0,26,1406,3,0,10
52,0,39999,450.0,3,1482,3,2,8
120,0,7500,288.0,15,247,3,0,14
19,0,35645,232.0,1,1372,3,0,5
20,0,149900,651.0,13,704,3,0,9
36,1,23950,420.0,24,919,3,0,8
162,0,12500,255.0,14,560,1,0,12
13,0,47000,455.0,52,1085,2,0,3
28,0,36999,387.0,53,83,3,0,3
33,0,24000,182.0,50,724,3,0,5
54,1,26000,300.0,43,1183,3,0,13
202,1,8500,236.0,53,1663,3,0,17
65,0,65000,370.0,44,26,0,0,6
10,0,30990,190.0,24,1605,3,0,3
50,0,10499,275.0,8,530,3,0,15
213,0,26500,212.0,53,948,3,0,28
16,0,114000,565.0,39,785,3,0,5
820,0,51998,190.0,27,1140,3,2,2
68,0,36499,248.0,3,1249,3,0,4
82,0,25000,230.0,27,931,3,0,26
27,0,27785,201.0,15,1687,3,0,3
129,1,7000,171.0,14,618,3,0,13
107,1,30000,360.0,27,927,3,0,11
35,0,45500,400.0,14,640,3,0,6
56,0,8950,252.0,9,1036,3,2,15
3,0,128900,387.0,3,1312,3,0,2
82,0,17000,220.0,3,177,3,0,10
5,0,42850,232.0,16,750,3,0,2
20,0,22999,208.0,9,1708,3,0,4
178,1,7100,180.0,49,1895,3,0,12
79,0,15500,188.0,28,1016,4,0,11
95,0,43000,275.0,14,1717,1,0,7
5,0,417500,352.0,43,156,3,0,7
25,1,39951,269.0,14,649,3,0,4
88,1,11500,235.0,55,1824,3,0,14
98,1,27499,320.0,9,281,1,0,12
